station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude
320,North Ryde,Epping Road,PM PEAK,15289,-33.798531,151.138992
321,Gordon,Pacific Highway,ALL DAYS,50155,-33.75317,151.151077
322,Gordon,Pacific Highway,AM PEAK,13774,-33.75317,151.151077
323,Gordon,Pacific Highway,OFF PEAK,25068,-33.75317,151.151077
324,Gordon,Pacific Highway,PM PEAK,13125,-33.75317,151.151077
325,St Ives,Eastern Arterial Road,ALL DAYS,14937,-33.75,151.1734161
326,St Ives,Eastern Arterial Road,AM PEAK,3903,-33.75,151.1734161
327,St Ives,Eastern Arterial Road,OFF PEAK,6923,-33.75,151.1734161
328,St Ives,Eastern Arterial Road,PM PEAK,4905,-33.75,151.1734161
329,Killara,Pacific Highway,ALL DAYS,46497,-33.761337,151.154983
330,Killara,Pacific Highway,AM PEAK,12304,-33.761337,151.154983
331,Killara,Pacific Highway,OFF PEAK,23682,-33.761337,151.154983
332,Killara,Pacific Highway,PM PEAK,12074,-33.761337,151.154983
333,Wahroonga,Pacific Highway,ALL DAYS,61415,-33.718727,151.110672
334,Wahroonga,Pacific Highway,AM PEAK,15708,-33.718727,151.110672
335,Wahroonga,Pacific Highway,OFF PEAK,30427,-33.718727,151.110672
336,Wahroonga,Pacific Highway,PM PEAK,15793,-33.718727,151.110672
337,North Narrabeen,Pittwater Road,ALL DAYS,58526,-33.706745,151.297028
338,North Narrabeen,Pittwater Road,AM PEAK,15159,-33.706745,151.297028
339,North Narrabeen,Pittwater Road,OFF PEAK,27919,-33.706745,151.297028
340,North Narrabeen,Pittwater Road,PM PEAK,18059,-33.706745,151.297028
341,Beacon Hill,Warringah Road,ALL DAYS,54781,-33.753216,151.257523
342,Beacon Hill,Warringah Road,AM PEAK,14953,-33.753216,151.257523
343,Beacon Hill,Warringah Road,OFF PEAK,25605,-33.753216,151.257523
344,Beacon Hill,Warringah Road,PM PEAK,16971,-33.753216,151.257523
345,Beacon Hill,Warringah Road,ALL DAYS,48463,-33.753262,151.257889
346,Belrose,Mona Vale Road,ALL DAYS,52629,-33.701229,151.211594
347,Belrose,Mona Vale Road,AM PEAK,15332,-33.701229,151.211594
348,Belrose,Mona Vale Road,OFF PEAK,23128,-33.701229,151.211594
349,Belrose,Mona Vale Road,PM PEAK,16192,-33.701229,151.211594
350,Ingleside,Mona Vale Road,ALL DAYS,33718,-33.686592,151.256943
351,Ingleside,Mona Vale Road,AM PEAK,9801,-33.686592,151.256943
